order_id,customer_id,product_list,total_price,order_date
1,2,"Sweater, Shoes, Hat, Skirt",30000,04/14/2010 03:03:26
2,7,"Hat, Shoes",1125.1,04/14/2022 16:55:20
3,6,"Sweater, Shoes, Blouse, Hat, Skirt",2437.57,11/23/2012 09:10:58
11,11,"Shoes, Sweater, Blouse, Skirt, Hat",2327.1,11/04/2014 15:42:58
5,0,"Skirt, Blouse, Sweater, Shoes, Hat",2763.23,01/10/2017 11:08:06
6,22,"Blouse, Hat, Shoes, Sweater",1988.83,07/12/2022 05:47:06
7,13,"Blouse, Hat",30000,02/22/2006 14:52:34
8,16,"Shoes, Sweater, Blouse",974.15,08/31/2010 09:04:19
9,2,"Sweater, Blouse",799.66,10/22/2016 12:19:07
10,,"Sweater, Blouse, Shoes, Hat",1219.79,11/18/2010 03:14:12
11,8,"Shoes, Skirt",1209.59,04/30/2008 09:27:17
12,16,"Shoes, Skirt, Hat, Sweater, Blouse",30000,04/05/2011 02:52:29
13,21,"Blouse, Shoes, Skirt",1398.78,2024/01/01 01:00:00
14,7,"Blouse, Shoes, Hat, Skirt",1472.26,01/09/2011 16:09:35
15,10,,1505.75,12/14/2004 15:56:05
16,13,"Sweater, Hat",270.83,06/22/2021 16:47:42
17,2,"Shoes, Blouse",930.14,01/13/2015 13:11:14
18,17,"Blouse, Skirt, Shoes, Hat, Sweater",2536.41,12/15/2004 09:10:30
19,8,Sweater,443.2,10/09/2015 04:26:56
20,2,"Skirt, Sweater",486.09,04/04/2008 08:29:49
21,15,"Sweater, Blouse, Skirt, Hat",30000,2024/01/01 01:00:00
22,9,"Shoes, Sweater, Hat, Skirt",30000,09/03/2000 18:08:46
23,22,"Hat, Blouse, Shoes, Skirt",1774.58,02/20/2014 15:03:27
24,1,,35.62,2024/01/01 01:00:00
25,4,"Blouse, Hat, Skirt, Sweater, Shoes",2659.5,06/11/2004 04:17:21
26,0,Hat,582.29,10/22/2021 09:16:16
27,22,"Shoes, Hat, Blouse",1847.79,08/01/2009 22:23:59
28,3,Sweater,347.1,12/16/2001 15:54:55
29,15,Blouse,259.85,03/31/2001 13:58:50
30,18,"Skirt, Blouse",800.21,02/21/2012 23:55:03
31,3,"Skirt, Shoes",502.29,02/27/2004 16:33:15
32,1,"Hat, Shoes, Blouse",1453.44,04/14/2007 01:52:09
33,17,"Hat, Shoes",742.35,03/06/2000 17:38:23
34,17,Blouse,691.17,12/24/2009 16:57:37
35,7,Hat,101.14,01/10/2018 10:16:49
36,17,"Skirt, Shoes, Sweater, Hat",1758.27,06/29/2006 16:48:58
37,22,Blouse,247.47,11/26/2011 02:27:08
38,15,"Blouse, Sweater, Hat, Shoes, Skirt",2207.65,09/03/2019 00:06:05
39,14,"Sweater, Hat, Shoes, Blouse",1679.51,03/28/2017 02:54:57
40,11,"Sweater, Hat, Shoes",681.38,02/07/2022 05:30:53
41,10,"Hat, Sweater",629.14,08/31/2011 19:55:00
42,20,"Hat, Skirt, Sweater, Shoes",1836.5,04/04/2014 01:45:48
43,15,"Hat, Shoes, Sweater, Skirt",1941.43,10/29/2002 11:39:49
11,18,"Blouse, Shoes, Sweater, Hat, Skirt",1392.76,01/06/2003 14:06:07
45,10,"Skirt, Hat, Shoes, Sweater, Blouse",2294.11,01/13/2002 09:09:17
46,0,"Blouse, Shoes, Sweater",1288.28,10/24/2015 14:45:53
47,,"Blouse, Hat, Shoes, Sweater, Skirt",2153.74,10/03/2010 06:51:26
48,11,"Sweater, Skirt, Blouse, Shoes",1385.56,12/02/2016 13:56:16
49,7,Hat,152.96,11/14/2005 04:52:48
50,7,"Blouse, Sweater, Skirt",904.1,04/04/2010 20:08:05
51,7,,620.85,05/16/2008 17:43:02
52,4,"Blouse, Sweater",760.61,04/07/2001 17:51:25
53,19,"Hat, Shoes, Sweater, Blouse, Skirt",1676.96,07/06/2020 04:56:51
54,16,"Hat, Sweater",719.84,02/15/2015 01:19:03
55,3,"Sweater, Hat",30000,01/13/2010 00:24:01
56,13,"Blouse, Shoes, Sweater",757.38,10/02/2022 23:30:39
57,6,"Skirt, Sweater, Blouse, Shoes, Hat",2471.98,11/06/2016 11:35:44
58,,"Skirt, Hat, Blouse, Sweater",2314.35,12/12/2005 19:14:34
59,22,"Hat, Sweater, Blouse, Skirt, Shoes",1129.62,03/08/2018 02:35:36
60,9,"Shoes, Skirt",1235.64,08/01/2021 02:18:27
61,4,Hat,381.38,03/13/2020 20:07:03
62,2,Skirt,219.32,2024/01/01 01:00:00
63,7,Shoes,433.46,11/22/2007 12:25:44
64,5,"Skirt, Hat",1259.46,2024/01/01 01:00:00
65,4,"Shoes, Hat",1041.67,03/12/2005 02:24:18
66,4,"Hat, Shoes, Sweater, Blouse",989.33,01/21/2000 01:03:04
67,17,"Skirt, Blouse, Shoes",1448.33,04/08/2011 19:58:24
68,22,"Sweater, Hat, Shoes, Skirt, Blouse",1468.14,10/11/2018 06:06:52
69,20,"Skirt, Hat, Sweater",727.26,08/01/2008 08:28:20
70,17,"Shoes, Sweater, Hat, Skirt",1731.23,03/06/2009 20:02:27
71,15,"Blouse, Shoes, Skirt",1568.41,06/24/2004 08:59:11
72,21,,1016.7,04/28/2019 22:15:29
73,22,Sweater,71.02,09/30/2001 10:42:07
74,19,"Sweater, Blouse, Skirt, Hat, Shoes",1881.99,04/19/2015 10:58:37
86,,"Sweater, Shoes, Hat, Blouse, Skirt",2100.56,09/27/2001 21:50:25
76,10,"Blouse, Hat, Sweater",1610.92,01/12/2010 03:36:00
77,10,"Sweater, Hat, Skirt, Shoes, Blouse",1413.08,2024/01/01 01:00:00
78,4,"Shoes, Skirt, Blouse",1234.6,07/04/2017 14:20:55
79,12,,30000,04/02/2022 13:50:09
80,18,"Blouse, Sweater, Shoes, Skirt",1532.04,10/17/2006 06:49:34
81,11,"Sweater, Blouse",1358.33,04/26/2017 14:21:00
82,6,"Skirt, Blouse, Shoes",952.3,11/18/2000 08:58:09
83,,"Shoes, Hat",221.19,12/12/2001 02:40:05
84,6,"Hat, Blouse, Shoes, Sweater, Skirt",1875.26,07/19/2009 18:41:41
85,,"Shoes, Hat, Sweater",1623.43,09/28/2006 14:34:50
86,17,"Shoes, Blouse, Hat, Sweater",907.0,01/05/2012 20:52:29
87,20,"Blouse, Hat, Shoes",1654.58,09/04/2006 05:06:23
88,5,"Shoes, Hat, Skirt",1151.66,05/18/2015 13:11:06
89,2,,1029.3,12/17/2002 00:15:29
90,17,"Hat, Shoes",545.72,03/24/2016 20:48:06
91,16,"Sweater, Blouse",631.16,05/22/2013 09:52:13
92,5,"Shoes, Blouse",1448.51,04/20/2011 19:34:06
93,3,"Hat, Blouse",588.6,09/09/2009 13:24:58
94,22,"Hat, Skirt, Blouse, Sweater",1110.99,12/20/2005 07:32:49
95,,"Skirt, Blouse, Shoes",1383.84,01/08/2020 17:40:05
96,17,"Blouse, Hat, Shoes, Skirt, Sweater",2087.79,06/10/2008 06:00:06
97,21,"Hat, Blouse, Sweater, Skirt",2485.71,01/05/2006 09:53:24
98,12,"Hat, Shoes",890.6,09/01/2009 20:16:25
99,20,"Sweater, Hat, Blouse",1105.57,2024/01/01 01:00:00
100,14,"Sweater, Shoes",1221.49,02/07/2008 05:38:27
